"","x"
"1",1771
"2",2771
"3",968
"4",2230
"5",1737
"6",3659
"7",1054
"8",67
"9",25
"10",710
"11",1677
"12",3365
"13",2797
"14",3523
"15",2486
"16",650
"17",2528
"18",2529
"19",224
"20",735
"21",1807
"22",3047
"23",3490
"24",3235
"25",2730
"26",432
"27",1156
"28",2117
"29",790
"30",113
"31",2361
"32",375
"33",2390
"34",3695
"35",935
"36",1215
"37",1565
"38",324
"39",814
"40",155
"41",586
"42",3779
"43",286
"44",1960
"45",76
"46",829
"47",3587
"48",156
"49",309
"50",1741
"51",3544
"52",759
"53",1915
"54",121
"55",1656
"56",430
"57",3279
"58",392
"59",2664
"60",1257
"61",1281
"62",1575
"63",1270
"64",1244
"65",1508
"66",2603
"67",1862
"68",3785
"69",3211
"70",1360
"71",3769
"72",470
"73",2521
"74",1660
"75",2048
"76",633
"77",74
"78",2127
"79",2727
"80",1150
"81",1844
"82",1515
"83",1378
"84",3673
"85",2049
"86",480
"87",3214
"88",1806
"89",2550
"90",3052
"91",995
"92",1381
"93",2840
"94",1252
"95",1182
"96",1573
"97",239
"98",2977
"99",366
"100",3122
"101",1425
"102",3827
"103",2080
"104",145
"105",3178
"106",198
"107",859
"108",2335
"109",2329
"110",293
"111",2741
"112",3366
"113",2503
"114",1239
"115",2004
"116",1547
"117",2205
"118",3616
"119",2583
"120",749
"121",1042
"122",1803
"123",2387
"124",1686
"125",391
"126",2921
"127",1080
"128",3360
"129",3309
"130",2918
"131",904
"132",3103
"133",647
"134",2052
"135",1608
"136",3194
"137",1011
"138",2444
"139",1617
"140",2095
"141",329
"142",982
"143",1416
"144",414
"145",3575
"146",1492
"147",3877
"148",488
"149",151
"150",1142
"151",2420
"152",3259
"153",2344
"154",1152
"155",57
"156",3871
"157",1448
"158",2167
"159",2094
"160",2353
"161",3081
"162",478
"163",291
"164",251
"165",3030
"166",1867
"167",839
"168",53
"169",2789
"170",1411
"171",2985
"172",815
"173",1207
"174",3186
"175",1297
"176",2952
"177",2650
"178",2846
"179",3208
"180",456
"181",1342
"182",578
"183",2877
"184",2885
"185",56
"186",777
"187",2900
"188",1352
"189",3257
"190",1311
"191",1824
"192",90
"193",2541
"194",1976
"195",2499
"196",3306
"197",3704
"198",2234
"199",180
"200",3799
"201",2403
"202",3489
"203",13
"204",3210
"205",1171
"206",1871
"207",3080
"208",1480
"209",3001
"210",1586
"211",2154
"212",1684
"213",3794
"214",1284
"215",2661
"216",3302
"217",3816
"218",3057
"219",2700
"220",236
"221",3782
"222",1287
"223",1336
"224",1959
"225",2322
"226",2632
"227",511
"228",250
"229",174
"230",2514
"231",3713
"232",2288
"233",2013
"234",1395
"235",680
"236",1596
"237",135
"238",903
"239",1099
