"","x"
"1",3790
"2",2092
"3",3861
"4",10
"5",3076
"6",2820
"7",3538
"8",1617
"9",784
"10",218
"11",896
"12",2539
"13",153
"14",1383
"15",2400
"16",3055
"17",3549
"18",281
"19",3013
"20",1388
"21",497
"22",2164
"23",3193
"24",807
"25",542
"26",3789
"27",1965
"28",2048
"29",928
"30",1078
"31",1948
"32",2372
"33",3259
"34",337
"35",3871
"36",1094
"37",1249
"38",3817
"39",430
"40",720
"41",303
"42",1728
"43",1688
"44",90
"45",3354
"46",937
"47",3691
"48",3763
"49",425
"50",661
"51",1066
"52",1885
"53",1185
"54",2845
"55",3685
"56",3388
"57",194
"58",1354
"59",850
"60",1495
"61",263
"62",2261
"63",3493
"64",1510
"65",1818
"66",1817
"67",131
"68",3506
"69",3476
"70",2497
"71",3007
"72",621
"73",97
"74",1320
"75",2906
"76",2235
"77",3360
"78",3290
"79",1436
"80",1819
"81",3088
"82",1632
"83",624
"84",224
"85",3023
"86",3221
"87",1131
"88",462
"89",3306
"90",1917
"91",3693
"92",1542
"93",1220
"94",184
"95",2774
"96",295
"97",2057
"98",283
"99",1740
"100",3051
"101",3205
"102",989
"103",1186
"104",738
"105",3858
"106",3463
"107",1207
"108",1285
"109",221
"110",1412
"111",3762
"112",3525
"113",483
"114",637
"115",638
"116",566
"117",592
"118",2250
"119",3715
"120",2905
"121",440
"122",606
"123",911
"124",2050
"125",1974
"126",401
"127",101
"128",203
"129",2003
"130",2687
"131",1490
"132",3319
"133",3855
"134",3712
"135",2990
"136",3611
"137",2079
"138",1778
"139",3006
"140",3272
"141",610
"142",3323
"143",220
"144",2165
"145",1928
"146",1188
"147",2127
"148",3117
"149",3761
"150",913
"151",2033
"152",3020
"153",17
"154",2647
"155",1063
"156",967
"157",347
"158",3713
"159",509
"160",1406
"161",447
"162",3753
"163",2345
"164",84
"165",2792
"166",2445
"167",3511
"168",1280
"169",538
"170",1798
"171",1636
"172",1206
"173",3630
"174",3622
"175",2283
"176",1809
"177",583
"178",3052
"179",2361
"180",3655
"181",2294
"182",318
"183",545
"184",3594
"185",551
"186",1561
"187",2184
"188",2827
"189",2900
"190",1326
"191",1925
"192",1851
"193",1277
"194",3286
"195",3027
"196",2419
"197",2509
"198",2659
"199",182
"200",3298
"201",2626
"202",1226
"203",2992
"204",2947
"205",3021
"206",2776
"207",585
"208",423
"209",3184
"210",641
"211",491
"212",1505
"213",1644
"214",422
"215",2787
"216",3822
"217",1771
"218",1789
"219",1116
"220",2778
"221",2536
"222",3050
"223",2602
"224",2080
"225",3001
"226",2965
"227",1092
"228",793
"229",95
"230",3310
"231",516
"232",1954
"233",596
"234",1134
"235",3839
"236",1245
"237",1941
"238",2729
"239",1004
"240",2654
"241",3588
"242",1500
"243",195
"244",3833
"245",3397
"246",1603
"247",2376
"248",3665
"249",3596
"250",1468
"251",77
"252",2975
"253",3764
"254",1361
"255",722
"256",1373
"257",384
"258",2109
"259",2403
"260",2271
"261",3072
"262",1352
"263",2541
"264",2598
"265",573
"266",939
"267",2895
"268",2611
"269",3644
"270",3139
"271",2751
"272",2371
"273",2201
"274",578
"275",889
"276",2200
"277",961
"278",3210
"279",3767
"280",3015
"281",796
"282",1419
"283",213
"284",1735
"285",1582
"286",3423
"287",1481
"288",741
"289",3662
"290",957
"291",814
"292",3237
"293",1722
"294",2604
"295",51
"296",3687
"297",2348
"298",1685
"299",2205
"300",2298
"301",1251
"302",3326
"303",278
"304",1696
"305",2801
"306",484
"307",2896
"308",2052
"309",3320
"310",1533
"311",857
"312",1202
"313",1470
"314",1047
"315",1372
"316",675
"317",3752
"318",3778
"319",1997
"320",2685
"321",2087
"322",2056
"323",296
"324",903
"325",567
"326",1239
"327",269
"328",1724
"329",3387
"330",539
"331",818
"332",2733
"333",2320
"334",2313
"335",2586
"336",2866
"337",3157
"338",2331
"339",2522
"340",85
"341",870
"342",2589
"343",1669
"344",3427
"345",1960
"346",1012
"347",500
"348",2166
"349",3577
"350",1100
"351",2795
"352",3618
"353",3875
"354",1230
"355",2195
"356",28
"357",654
"358",121
"359",2816
"360",982
"361",1759
"362",517
"363",598
"364",2246
"365",820
"366",1276
"367",3558
"368",1183
"369",3723
"370",1824
"371",2918
"372",359
"373",1351
"374",1151
"375",1980
"376",3225
"377",39
"378",2321
"379",3547
"380",2967
"381",752
"382",3244
"383",2430
"384",1126
"385",620
"386",3472
"387",3863
"388",1874
"389",1115
"390",744
"391",3787
"392",1257
"393",2527
"394",1254
"395",3215
"396",3727
"397",2088
"398",1180
"399",945
"400",1247
"401",1349
"402",3130
"403",2630
"404",2750
"405",1652
"406",3095
"407",216
"408",536
"409",3647
"410",199
"411",2871
"412",2010
"413",3623
"414",125
"415",48
"416",1786
"417",3819
"418",460
"419",3688
"420",2375
"421",1445
"422",3718
"423",2032
"424",1839
"425",1026
"426",1067
"427",2009
"428",1342
"429",3177
"430",3350
"431",2028
"432",208
"433",1622
"434",3756
"435",3848
"436",2940
"437",1556
"438",2641
"439",122
"440",11
"441",1008
"442",489
"443",2944
"444",3266
"445",802
"446",3128
"447",1822
"448",2833
"449",2870
"450",3454
"451",270
"452",1178
"453",2879
"454",1787
"455",1331
"456",750
"457",3675
"458",2942
"459",2995
"460",2035
"461",3374
"462",3219
"463",2860
"464",32
"465",276
"466",1555
"467",3019
"468",677
"469",1788
"470",994
"471",2519
"472",586
"473",3516
"474",1821
"475",55
"476",2770
"477",2031
"478",1284
"479",1904
"480",3747
"481",1537
"482",13
"483",1840
"484",3805
"485",1101
"486",1899
"487",3707
"488",772
"489",1961
"490",973
"491",1119
"492",3282
"493",2823
"494",3125
"495",1938
"496",3857
"497",2817
"498",3606
"499",3533
"500",3470
"501",3729
"502",202
"503",3704
"504",1816
"505",3180
"506",1051
"507",173
"508",626
"509",2880
"510",3737
"511",1621
"512",1852
"513",2577
"514",3402
"515",2642
"516",1015
"517",3017
"518",1768
"519",83
"520",1986
"521",87
"522",1193
"523",2223
"524",2538
"525",3362
"526",1571
"527",3098
"528",1964
"529",1428
"530",249
"531",2529
"532",1042
"533",518
"534",2935
"535",1175
"536",3062
"537",2856
"538",3381
"539",2802
"540",1311
"541",1142
"542",771
"543",3658
"544",1114
"545",1214
"546",3129
"547",2731
"548",1081
"549",492
"550",106
"551",3709
"552",2225
"553",2875
"554",1998
"555",763
"556",1334
"557",3036
"558",1058
"559",1643
"560",719
"561",424
"562",389
"563",1303
"564",508
"565",3576
"566",990
"567",2824
"568",2284
"569",2339
"570",3841
"571",1054
"572",1736
"573",1577
"574",3043
"575",659
"576",1842
"577",2507
"578",2194
"579",996
"580",540
"581",1970
"582",2084
"583",1933
"584",1549
"585",3230
"586",3532
"587",408
"588",1957
"589",2049
"590",2482
"591",980
"592",2134
"593",3014
"594",472
"595",3252
"596",2511
"597",2373
"598",2204
"599",1935
"600",559
"601",1006
"602",2187
"603",1985
"604",2425
"605",2274
"606",331
"607",1077
"608",140
"609",3837
"610",2991
"611",940
"612",3165
"613",3566
"614",1630
"615",110
"616",3421
"617",657
"618",849
"619",3016
"620",1316
"621",977
"622",1881
"623",953
"624",3274
"625",212
"626",298
"627",1977
"628",2494
"629",2610
"630",2648
"631",1737
"632",1989
"633",2561
"634",3441
"635",2431
"636",1755
"637",2704
"638",260
"639",1212
"640",3450
"641",766
"642",2286
"643",1438
"644",1237
"645",2893
"646",2790
"647",3551
"648",3722
"649",1317
"650",3059
"651",2086
"652",898
"653",1430
"654",2909
"655",312
"656",1888
"657",683
"658",1918
"659",2181
"660",3352
"661",1792
"662",746
"663",3033
"664",1676
"665",3081
"666",601
"667",2624
"668",8
"669",230
"670",2552
"671",2981
"672",663
"673",2307
"674",1003
"675",3443
"676",878
"677",177
"678",2526
"679",1155
"680",1835
"681",1246
"682",2620
"683",846
"684",2122
"685",2590
"686",1253
"687",129
"688",3584
"689",3384
"690",2254
"691",1439
"692",2713
"693",2470
"694",3791
"695",3795
"696",2370
"697",2476
"698",3438
"699",2444
"700",2242
"701",2674
"702",2692
"703",564
"704",992
"705",3653
"706",3247
"707",842
"708",2819
"709",2085
"710",1546
"711",1760
"712",1619
"713",1553
"714",3543
"715",1046
"716",1166
"717",2769
"718",377
"719",560
"720",66
"721",790
"722",2186
"723",628
"724",363
"725",2069
"726",2945
"727",2147
"728",948
"729",3426
"730",3250
"731",3830
"732",2343
"733",2394
"734",155
"735",3867
"736",3343
"737",2167
"738",1234
"739",2968
"740",2025
"741",1677
"742",2840
"743",2585
"744",102
"745",2356
"746",2196
"747",3030
"748",1088
"749",1426
"750",3150
"751",2401
"752",2978
"753",786
"754",646
"755",2121
"756",2408
"757",56
"758",2486
"759",3336
"760",3194
"761",1951
"762",3530
"763",1016
"764",3417
"765",1958
"766",2543
"767",1227
"768",232
"769",3166
"770",3140
"771",355
"772",488
"773",2889
"774",1308
"775",2622
"776",3473
"777",3521
"778",2736
"779",859
"780",1423
"781",3261
"782",1717
"783",1679
"784",75
"785",1293
"786",544
"787",2666
"788",2364
"789",3078
"790",835
"791",2251
"792",30
"793",1684
"794",259
"795",658
"796",2607
"797",2015
"798",339
"799",3827
"800",1548
"801",2258
"802",3168
"803",393
"804",1667
"805",3694
"806",789
"807",3798
"808",782
"809",1341
"810",2493
"811",2268
"812",2915
"813",2039
